,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
134,1.8558213435934845e-08,3.575043439863363e-08,1.5141628372266545e-08,1.5141628372266545e-08,-1.3476611328125
135,4.142071516343284e-08,2.7909577851309862e-08,3.8687198923155035e-08,3.8687198923155035e-08,-1.34003173828125
136,5.982896808228089e-08,2.46777195538777e-08,6.933850416508451e-08,6.933850416508451e-08,-1.33240234375
137,6.36533526293259e-08,2.8150367566475798e-08,9.081517935336523e-08,9.081517935336523e-08,-1.32477294921875
138,5.431796244104674e-08,3.580595654474794e-08,9.177140983861104e-08,9.177140983861104e-08,-1.3171435546875
139,4.111904273796625e-08,4.346211030758012e-08,7.490314776662303e-08,7.490314776662303e-08,-1.30951416015625
140,3.1320477299178716e-08,4.9117845266223895e-08,5.2591649050710515e-08,5.2591649050710515e-08,-1.301884765625
141,2.549934527113305e-08,5.335871778083598e-08,3.5104140357982626e-08,3.5104140357982626e-08,-1.29425537109375
142,2.071221673464266e-08,5.7719456123075656e-08,2.4485182666439847e-08,2.4485182666439847e-08,-1.2866259765625
143,1.5146541361770934e-08,6.347351174871279e-08,1.7841253737317278e-08,1.7841253737317278e-08,-1.27899658203125
144,9.495959452157126e-09,7.066438048362581e-08,1.288357877415692e-08,1.288357877415692e-08,-1.2713671875
145,5.833720934130848e-09,7.697767392010988e-08,9.484472554208214e-09,9.484472554208214e-09,-1.26373779296875
146,5.934057359809664e-09,7.809175416192179e-08,8.116009895174982e-09,8.116009895174982e-09,-1.2561083984375
147,9.760512177288117e-09,7.05418903715762e-08,8.572228356241853e-09,8.572228356241853e-09,-1.24847900390625
148,1.51026089689376e-08,5.4874699322590314e-08,9.981762613281713e-09,9.981762613281713e-09,-1.240849609375
149,1.9120573218403064e-08,3.585672579237283e-08,1.1372766841418545e-08,1.1372766841418545e-08,-1.23322021484375
150,2.0362506973122808e-08,1.939451890621385e-08,1.2189545625947006e-08,1.2189545625947006e-08,-1.2255908203125
151,1.916473545670104e-08,8.960184935102915e-09,1.2349740309939423e-08,1.2349740309939423e-08,-1.21796142578125
152,1.6671993228256374e-08,4.361238785655653e-09,1.1793942872582506e-08,1.1793942872582506e-08,-1.21033203125
153,1.4026695768611284e-08,3.229423725247647e-09,1.0281434983276404e-08,1.0281434983276404e-08,-1.20270263671875
154,1.198032789797881e-08,3.3382189854922196e-09,7.861682551373404e-09,7.861682551373404e-09,-1.1950732421875
155,1.0820630667170988e-08,3.7472645217654954e-09,5.16117123043736e-09,5.16117123043736e-09,-1.18744384765625
156,1.1522552211601611e-08,4.506609527329883e-09,2.921121434740857e-09,2.921121434740857e-09,-1.179814453125
157,1.746212948432166e-08,6.029687519888532e-09,1.8211331601218784e-09,1.8211331601218784e-09,-1.17218505859375
