,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
113,5.989280046727401e-09,4.869015966333556e-08,3.5121430698949954e-08,-1.50787841796875,3.5121430698949954e-08
114,1.902096183191718e-08,7.156989251603079e-08,3.898829531156488e-08,-1.5002490234375,3.898829531156488e-08
115,4.2813085382862715e-08,1.0621344551969458e-07,5.004284513354747e-08,-1.49261962890625,5.004284513354747e-08
116,6.521971168740822e-08,1.562698161077404e-07,6.59106387351932e-08,-1.484990234375,6.59106387351932e-08
117,7.352637648026114e-08,2.141101225728288e-07,7.985477107185461e-08,-1.47736083984375,7.985477107185461e-08
118,6.466868361293079e-08,2.563482155671715e-07,8.336463050573569e-08,-1.4697314453125,8.336463050573569e-08
119,4.651094371870349e-08,2.5439823986227225e-07,7.266468172303184e-08,-1.46210205078125,7.266468172303184e-08
120,2.9285642256129598e-08,1.9846664790283338e-07,5.245653206938589e-08,-1.45447265625,5.245653206938589e-08
121,1.7419591941379118e-08,1.1550788080157404e-07,3.197356105610828e-08,-1.44684326171875,3.197356105610828e-08
122,1.0226193555513026e-08,5.9374626875441665e-08,1.7655332564965045e-08,-1.4392138671875,1.7655332564965045e-08
123,7.706354167931275e-09,7.454089215200436e-08,1.0560766721209898e-08,-1.43158447265625,1.0560766721209898e-08
124,1.2077667772478307e-08,1.6213859700515564e-07,9.557309247980489e-09,-1.423955078125,9.557309247980489e-09
125,2.349819661642651e-08,2.7766377877476686e-07,1.4123045172230691e-08,-1.41632568359375,1.4123045172230691e-08
126,3.711168726884755e-08,3.6149125069252553e-07,2.3199059900642345e-08,-1.4086962890625,2.3199059900642345e-08
127,4.606350734254936e-08,3.7618885659457643e-07,3.3338176131319204e-08,-1.40106689453125,3.3338176131319204e-08
128,4.671545732420975e-08,3.23820876880702e-07,3.995877807970386e-08,-1.3934375,3.995877807970386e-08
129,4.000464476976873e-08,2.365017607243362e-07,4.038143735770724e-08,-1.38580810546875,4.038143735770724e-08
130,2.8738825393865133e-08,1.5228460451852798e-07,3.4876387507224844e-08,-1.3781787109375,3.4876387507224844e-08
131,1.5899995519595912e-08,9.389544522588657e-08,2.5341630789807624e-08,-1.37054931640625,2.5341630789807624e-08
132,6.325926535463965e-09,6.22335324271952e-08,1.4941900273424237e-08,-1.362919921875,1.4941900273424237e-08
133,7.121589343002241e-09,4.5547649745750395e-08,9.80894802216819e-09,-1.35529052734375,9.80894802216819e-09
134,2.2128179302058863e-08,3.409968374130655e-08,1.8203267056429623e-08,-1.3476611328125,1.8203267056429623e-08
135,4.5255371266350516e-08,2.7092407573363834e-08,4.3395728306674565e-08,-1.34003173828125,4.3395728306674565e-08
136,6.271560762203672e-08,2.795090087581975e-08,7.63176544379229e-08,-1.33240234375,7.63176544379229e-08
137,6.447418057402007e-08,3.6490477142213094e-08,9.900725627437334e-08,-1.32477294921875,9.900725627437334e-08
138,5.256075767992084e-08,4.769081624672245e-08,9.882063121753388e-08,-1.3171435546875,9.882063121753388e-08
139,3.711921383175235e-08,5.660450255180656e-08,7.884712703958857e-08,-1.30951416015625,7.884712703958857e-08
140,2.6136065744180146e-08,6.194470412783243e-08,5.317916380056032e-08,-1.301884765625,5.317916380056032e-08
