,ka_hh,ka_vv,ka_hv,ka_vh,ka_range
161,7.634585495742318e-08,4.450407658957148e-08,3.7771911355926054e-08,3.7771911355926054e-08,-1.14166748046875
162,8.008548224944175e-08,4.2275000069474284e-08,5.01694081437414e-08,5.01694081437414e-08,-1.1340380859375
163,6.603337258020278e-08,3.345830423023515e-08,5.2876112535234944e-08,5.2876112535234944e-08,-1.12640869140625
164,4.066952154421427e-08,2.2368489857228083e-08,4.3506966600461705e-08,4.3506966600461705e-08,-1.118779296875
165,1.6637309097799203e-08,1.4726590704178652e-08,2.6847737833406532e-08,2.6847737833406532e-08,-1.11114990234375
166,3.953623711483714e-09,1.366425416543357e-08,1.2309108461795387e-08,1.2309108461795387e-08,-1.1035205078125
167,3.840501356186135e-09,1.722373413684314e-08,6.8279401701837735e-09,6.8279401701837735e-09,-1.09589111328125
168,1.0631917465631649e-08,2.0269838401466912e-08,9.860577737033638e-09,9.860577737033638e-09,-1.08826171875
169,1.8393028720438914e-08,1.959291617989914e-08,1.5692272267515504e-08,1.5692272267515504e-08,-1.08063232421875
170,2.4749190577183368e-08,1.686090218601785e-08,1.9734499441751435e-08,1.9734499441751435e-08,-1.0730029296875
171,2.9793087633358426e-08,1.6275355666148525e-08,2.1484209905506592e-08,2.1484209905506592e-08,-1.06537353515625
172,3.390171038515436e-08,2.0227984392842882e-08,2.2638251582190134e-08,2.2638251582190134e-08,-1.057744140625
173,3.709244848067e-08,2.79073311459063e-08,2.467448447024799e-08,2.467448447024799e-08,-1.05011474609375
174,3.885973870876142e-08,3.6872785921252995e-08,2.8159094452052647e-08,2.8159094452052647e-08,-1.0424853515625
175,3.7858403043627014e-08,4.4340030117541566e-08,3.2283858892369414e-08,3.2283858892369414e-08,-1.03485595703125
176,3.2739447320896586e-08,4.751507574928945e-08,3.449913888671336e-08,3.449913888671336e-08,-1.0272265625
177,2.408488378821445e-08,4.476059846335305e-08,3.209944414835017e-08,3.209944414835017e-08,-1.01959716796875
178,1.502087373199189e-08,3.7201860313853884e-08,2.498984590009123e-08,2.498984590009123e-08,-1.0119677734375
179,9.200156868820353e-09,2.8246999378544753e-08,1.6181971137687353e-08,1.6181971137687353e-08,-1.00433837890625
180,8.064694955770358e-09,2.091517762593076e-08,9.178428245212573e-09,9.178428245212573e-09,-0.9967089843750001
181,1.0115550380993075e-08,1.600600960768074e-08,5.388164391825583e-09,5.388164391825583e-09,-0.9890795898437501
182,1.2604180597646404e-08,1.2835513869075708e-08,4.060697228757769e-09,4.060697228757769e-09,-0.9814501953125001
183,1.3772207172715875e-08,1.0731793360460203e-08,3.7296146746337056e-09,3.7296146746337056e-09,-0.9738208007812501
184,1.3770285711894328e-08,9.194865428994385e-09,3.2233283656167466e-09,3.2233283656167466e-09,-0.9661914062500001
185,1.3934892226569687e-08,7.422952223511753e-09,2.071241741888947e-09,2.071241741888947e-09,-0.9585620117187501
186,1.5342915923865675e-08,4.912361562107504e-09,8.357183287302652e-10,8.357183287302652e-10,-0.9509326171875001
187,1.7781877801305543e-08,2.546505160140832e-09,8.757734001862718e-10,8.757734001862718e-10,-0.9433032226562501
188,1.9826537020103606e-08,2.0506050666477674e-09,3.0530577735284605e-09,3.0530577735284605e-09,-0.9356738281250001
189,1.9894051621229176e-08,3.841899664269937e-09,6.528373551615224e-09,6.528373551615224e-09,-0.9280444335937501
190,1.733778898129452e-08,6.06042408176692e-09,9.243291053621185e-09,9.243291053621185e-09,-0.9204150390625001
191,1.2740344772127973e-08,6.397124067613996e-09,9.674484544598058e-09,9.674484544598058e-09,-0.9127856445312501
192,7.633340082281381e-09,4.545094103104846e-09,7.838498576956148e-09,7.838498576956148e-09,-0.9051562500000001
193,4.277165659339255e-09,2.233043167474323e-09,4.770680978461836e-09,4.770680978461836e-09,-0.8975268554687501
194,5.1295766507603835e-09,1.1523077700226864e-09,1.7384035293873172e-09,1.7384035293873172e-09,-0.8898974609375001
195,1.123992819216907e-08,1.6250902383066437e-09,9.584661576167952e-11,9.584661576167952e-11,-0.8822680664062501
196,2.051849265317674e-08,3.113630947011881e-09,9.618212558397273e-10,9.618212558397273e-10,-0.8746386718750001
197,2.8229785520700305e-08,4.94571931307506e-09,4.119070234348241e-09,4.119070234348241e-09,-0.8670092773437501
198,3.020007081111407e-08,6.209088160555395e-09,7.457004036278806e-09,7.457004036278806e-09,-0.8593798828125001
199,2.59169104312521e-08,5.965298988042188e-09,8.401168228263953e-09,8.401168228263953e-09,-0.8517504882812501
200,1.8453242135604298e-08,4.485184448052505e-09,6.26790738972103e-09,6.26790738972103e-09,-0.8441210937500001
201,1.1557629470436943e-08,3.797550489744839e-09,2.884774092575197e-09,2.884774092575197e-09,-0.8364916992187501
202,7.0494346626958e-09,5.962164746258523e-09,6.897197580809462e-10,6.897197580809462e-10,-0.8288623046875001
203,4.6674730201588266e-09,1.0665767491001904e-08,5.171947283893223e-10,5.171947283893223e-10,-0.8212329101562501
204,3.5402655119078332e-09,1.524434613060464e-08,1.4421728832434356e-09,1.4421728832434356e-09,-0.8136035156250001
205,3.2256310533219094e-09,1.7382689757479976e-08,2.3419787396401988e-09,2.3419787396401988e-09,-0.8059741210937501
206,3.630154172236482e-09,1.7279234613766563e-08,2.9839540468484297e-09,2.9839540468484297e-09,-0.7983447265625001
207,4.635773185679816e-09,1.6766999039814483e-08,3.632136597738417e-09,3.632136597738417e-09,-0.7907153320312501
208,6.072974960484361e-09,1.6747631041626644e-08,4.247296162933329e-09,4.247296162933329e-09,-0.7830859375000001
209,7.772278594767543e-09,1.6194946835850266e-08,4.4471663531411705e-09,4.4471663531411705e-09,-0.7754565429687501
210,9.454675882043537e-09,1.3756129404420093e-08,3.998448398292112e-09,3.998448398292112e-09,-0.7678271484375001
211,1.078666266220661e-08,9.804840374953548e-09,3.0900248217771765e-09,3.0900248217771765e-09,-0.7601977539062501
212,1.169937301968022e-08,6.50419435775701e-09,2.2690273805899815e-09,2.2690273805899815e-09,-0.7525683593750001
213,1.2436229503827006e-08,5.894847145873202e-09,2.2152086777144302e-09,2.2152086777144302e-09,-0.7449389648437501
214,1.3093288481756108e-08,8.112852161807617e-09,3.299754279264451e-09,3.299754279264451e-09,-0.7373095703125001
215,1.3296979726946505e-08,1.1440742130628753e-08,5.120871855947067e-09,5.120871855947067e-09,-0.7296801757812501
216,1.256900410968028e-08,1.3844374560702965e-08,6.641667859652489e-09,6.641667859652489e-09,-0.7220507812500001
217,1.091108460566996e-08,1.431611274709158e-08,7.043318939215797e-09,7.043318939215797e-09,-0.7144213867187501
218,8.84180169116567e-09,1.2976256587994266e-08,6.426307971743091e-09,6.426307971743091e-09,-0.7067919921875001
219,6.963274237097975e-09,1.0434196356405546e-08,5.60757172843156e-09,5.60757172843156e-09,-0.6991625976562501
220,5.713983968418231e-09,7.4403010094143336e-09,5.3903706371302605e-09,5.3903706371302605e-09,-0.6915332031250001
221,5.453481265539267e-09,4.946456336243364e-09,6.1507732984769765e-09,6.1507732984769765e-09,-0.6839038085937501
222,6.419766232804278e-09,3.877973459995878e-09,7.865191005486071e-09,7.865191005486071e-09,-0.6762744140625001
223,8.405221665505853e-09,4.458608975575848e-09,1.0126516888622205e-08,1.0126516888622205e-08,-0.6686450195312501
224,1.0625370911242589e-08,5.920029751004515e-09,1.2108044287882546e-08,1.2108044287882546e-08,-0.6610156250000001
225,1.2126852821849757e-08,7.175650082590346e-09,1.2889402935691568e-08,1.2889402935691568e-08,-0.6533862304687501
226,1.238004949998985e-08,7.776364414448316e-09,1.2100824319251911e-08,1.2100824319251911e-08,-0.6457568359375001
227,1.1476760384649555e-08,8.094691719985016e-09,1.0205242464511674e-08,1.0205242464511674e-08,-0.6381274414062501
228,9.853213436342748e-09,8.754861812238439e-09,8.067690785239684e-09,8.067690785239684e-09,-0.6304980468750001
229,7.925710627062598e-09,1.0143097915176106e-08,6.310460430482903e-09,6.310460430482903e-09,-0.6228686523437501
230,5.9607788884153225e-09,1.2289055075168477e-08,5.064515312208407e-09,5.064515312208407e-09,-0.6152392578125001
231,4.169850404992091e-09,1.4746052028547601e-08,4.1387698316764706e-09,4.1387698316764706e-09,-0.6076098632812501
232,2.801371666607738e-09,1.6515721319825884e-08,3.324911224718774e-09,3.324911224718774e-09,-0.5999804687500001
233,2.0494869150845057e-09,1.6531540723516308e-08,2.6475497310279802e-09,2.6475497310279802e-09,-0.5923510742187501
234,1.9074965426898203e-09,1.4513892231776399e-08,2.35986000044222e-09,2.35986000044222e-09,-0.5847216796875001
235,2.294983555240969e-09,1.1219325646866827e-08,2.616718295885416e-09,2.616718295885416e-09,-0.5770922851562501
236,3.391745916891039e-09,7.779278963587105e-09,3.2549872284175133e-09,3.2549872284175133e-09,-0.5694628906250001
237,5.5625368666270305e-09,5.032443893580412e-09,4.096577773596333e-09,4.096577773596333e-09,-0.5618334960937501
238,8.65255859310939e-09,3.5386027679305235e-09,5.311182698657741e-09,5.311182698657741e-09,-0.5542041015625001
