,ku_hh,ku_vv,ku_hv,ku_range,ku_vh
19,5.4298635885924885e-06,4.783427720825301e-06,4.724337309462622e-06,-2.22504150390625,4.724337309462622e-06
20,6.2453013880612664e-06,5.474950050409914e-06,5.4587517928543655e-06,-2.217412109375,5.4587517928543655e-06
21,5.951029397339445e-06,6.2984700758660504e-06,6.27615076312748e-06,-2.20978271484375,6.27615076312748e-06
22,4.494419021602112e-06,6.040526982247003e-06,5.977973818711187e-06,-2.2021533203125,5.977973818711187e-06
23,2.7199646626286993e-06,4.615467551429451e-06,4.518726425363974e-06,-2.19452392578125,4.518726425363974e-06
24,1.5815621240320876e-06,2.8334264240403835e-06,2.7388590319977246e-06,-2.18689453125,2.7388590319977246e-06
25,1.3902145234670863e-06,1.6550380449921225e-06,1.588278003640666e-06,-2.17926513671875,1.588278003640666e-06
26,1.611165805326499e-06,1.4335400623031389e-06,1.3811930855450657e-06,-2.1716357421875,1.3811930855450657e-06
27,1.544736023122595e-06,1.6633660307629876e-06,1.5893211997859277e-06,-2.16400634765625,1.5893211997859277e-06
28,1.0715773902373968e-06,1.6306790719064567e-06,1.5170284949668513e-06,-2.156376953125,1.5170284949668513e-06
29,5.39981803945193e-07,1.1782019117773785e-06,1.0452828631029018e-06,-2.14874755859375,1.0452828631029018e-06
30,2.0483823488021117e-07,6.32942354799373e-07,5.203017945654204e-07,-2.1411181640625,5.203017945654204e-07
31,5.2830803605080486e-08,2.6120427244674717e-07,1.9386286843219006e-07,-2.13348876953125,1.9386286843219006e-07
32,1.4712937096545884e-09,7.483018158066395e-08,4.951750197777733e-08,-2.125859375,4.951750197777733e-08
33,4.6633769547307436e-08,4.283419766406185e-09,2.572128920754663e-09,-2.11822998046875,2.572128920754663e-09
34,2.648011405686509e-07,3.935205483035678e-08,4.8033134269221144e-08,-2.1106005859375,4.8033134269221144e-08
35,7.692159408688534e-07,2.3406240301158262e-07,2.6242458764569714e-07,-2.10297119140625,2.6242458764569714e-07
36,1.6228626390222726e-06,6.546192511621151e-07,7.597867302375041e-07,-2.095341796875,7.597867302375041e-07
37,2.6976127282912296e-06,1.2938910944151856e-06,1.6057437701139491e-06,-2.08771240234375,1.6057437701139491e-06
38,3.6024691557067205e-06,1.9848492378155134e-06,2.6773384485715832e-06,-2.0800830078125,2.6773384485715832e-06
39,3.855356788377032e-06,2.413089207296297e-06,3.5890366624612705e-06,-2.07245361328125,3.5890366624612705e-06
40,3.249030156917254e-06,2.3002516455620695e-06,3.859984962712322e-06,-2.06482421875,3.859984962712322e-06
41,2.0694461903469062e-06,1.6527205882465476e-06,3.276981280245186e-06,-2.05719482421875,3.276981280245186e-06
42,9.194188492145475e-07,8.232792258092058e-07,2.1145626744028764e-06,-2.0495654296875,2.1145626744028764e-06
43,3.280830992730137e-07,2.816277826203736e-07,9.642330096405689e-07,-2.04193603515625,9.642330096405689e-07
44,5.103304891488229e-07,3.0735527899975e-07,3.494702881319512e-07,-2.034306640625,3.494702881319512e-07
45,1.3803671740671325e-06,8.824667272742347e-07,4.870340400888193e-07,-2.02667724609375,4.870340400888193e-07
46,2.642134086177133e-06,1.8026879262188563e-06,1.2983058013765564e-06,-2.0190478515625,1.2983058013765564e-06
47,3.8312212210241824e-06,2.805866051414914e-06,2.496109381524106e-06,-2.01141845703125,2.496109381524106e-06
48,4.416137386429117e-06,3.5882007246271477e-06,3.6247996462499554e-06,-2.0037890625,3.6247996462499554e-06
49,4.076570225999232e-06,3.819679483629977e-06,4.162466159154528e-06,-1.99615966796875,4.162466159154528e-06
50,2.9729692084588257e-06,3.3194458954938965e-06,3.8003530398454143e-06,-1.9885302734375,3.8003530398454143e-06
51,1.6646124425308709e-06,2.2713120545811214e-06,2.7093871605991215e-06,-1.98090087890625,2.7093871605991215e-06
52,6.841160299081909e-07,1.1618494377937862e-06,1.4506119071226904e-06,-1.973271484375,1.4506119071226904e-06
53,1.9966903026698655e-07,4.1737606470686674e-07,5.447583858975105e-07,-1.96564208984375,5.447583858975105e-07
54,6.248833708836728e-08,1.2472131310750314e-07,1.3943358843511912e-07,-1.9580126953125,1.3943358843511912e-07
55,6.348691321878848e-08,1.0546112633755511e-07,6.78527994739938e-08,-1.95038330078125,6.78527994739938e-08
